DESCRIPTION,household_key,CAMPAIGN
TypeA,17,26
TypeA,27,26
TypeA,212,26
TypeA,208,26
TypeA,192,26
TypeA,187,26
TypeA,183,26
TypeA,142,26
TypeA,140,26
TypeA,134,26
TypeA,131,26
TypeA,2492,26
TypeA,2482,26
TypeA,2478,26
TypeA,2459,26
TypeA,2452,26
TypeA,2451,26
TypeA,2448,26
TypeA,2445,26
TypeA,2443,26
TypeA,2427,26
TypeA,2420,26
TypeA,2410,26
TypeA,2407,26
TypeA,2391,26
TypeA,2384,26
TypeA,2371,26
TypeA,2334,26
TypeA,2331,26
TypeA,2328,26
TypeA,2324,26
TypeA,2319,26
TypeA,2318,26
TypeA,2317,26
TypeA,2307,26
TypeA,2305,26
TypeA,2295,26
TypeA,2280,26
TypeA,2274,26
TypeA,2263,26
TypeA,2262,26
TypeA,2258,26
TypeA,2251,26
TypeA,2244,26
TypeA,2240,26
TypeA,2228,26
TypeA,2224,26
TypeA,2223,26
TypeA,2215,26
TypeA,2213,26
TypeA,2208,26
TypeA,2203,26
TypeA,2200,26
TypeA,2194,26
TypeA,2193,26
TypeA,2185,26
TypeA,2182,26
TypeA,2069,26
TypeA,2063,26
TypeA,2062,26
TypeA,2058,26
TypeA,2051,26
TypeA,2050,26
TypeA,2044,26
TypeA,2039,26
TypeA,1634,26
TypeA,1633,26
TypeA,1622,26
TypeA,1613,26
TypeA,1607,26
TypeA,1590,26
TypeA,1584,26
TypeA,1579,26
TypeA,1569,26
TypeA,1558,26
TypeA,1551,26
TypeA,1549,26
TypeA,1544,26
TypeA,1542,26
TypeA,1536,26
TypeA,1528,26
TypeA,1527,26
TypeA,1512,26
TypeA,1502,26
TypeA,1490,26
TypeA,1485,26
TypeA,1476,26
TypeA,1463,26
TypeA,1460,26
TypeA,1452,26
TypeA,1426,26
TypeA,1421,26
TypeA,1420,26
TypeA,1405,26
TypeA,1393,26
TypeA,1391,26
TypeA,1388,26
TypeA,1385,26
TypeA,1382,26
TypeA,1378,26
TypeA,1366,26
TypeA,1364,26
TypeA,1178,26
TypeA,1172,26
TypeA,1138,26
TypeA,1130,26
TypeA,1123,26
TypeA,1121,26
TypeA,1116,26
TypeA,1113,26
TypeA,1104,26
TypeA,1098,26
TypeA,1082,26
TypeA,1070,26
TypeA,1065,26
TypeA,1060,26
TypeA,1055,26
TypeA,1051,26
TypeA,1042,26
TypeA,1018,26
TypeA,1012,26
TypeA,1003,26
TypeA,999,26
TypeA,996,26
TypeA,988,26
TypeA,987,26
TypeA,986,26
TypeA,979,26
TypeA,968,26
TypeA,960,26
TypeA,2168,26
TypeA,2161,26
TypeA,2148,26
TypeA,2134,26
TypeA,2116,26
TypeA,2114,26
TypeA,2111,26
TypeA,2110,26
TypeA,2095,26
TypeA,2088,26
TypeA,2078,26
TypeA,2076,26
TypeA,954,26
TypeA,947,26
TypeA,946,26
TypeA,938,26
TypeA,936,26
TypeA,934,26
TypeA,932,26
TypeA,928,26
TypeA,926,26
TypeA,924,26
TypeA,918,26
TypeA,909,26
TypeA,907,26
TypeA,895,26
TypeA,889,26
TypeA,883,26
TypeA,864,26
TypeA,834,26
TypeA,816,26
TypeA,812,26
TypeA,805,26
TypeA,788,26
TypeA,785,26
TypeA,784,26
TypeA,778,26
TypeA,760,26
TypeA,755,26
TypeA,737,26
TypeA,730,26
TypeA,718,26
TypeA,712,26
TypeA,710,26
TypeA,708,26
TypeA,706,26
TypeA,698,26
TypeA,693,26
TypeA,691,26
TypeA,682,26
TypeA,681,26
TypeA,674,26
TypeA,670,26
TypeA,669,26
TypeA,665,26
TypeA,654,26
TypeA,650,26
TypeA,641,26
TypeA,631,26
TypeA,624,26
TypeA,609,26
TypeA,603,26
TypeA,598,26
TypeA,583,26
TypeA,576,26
TypeA,575,26
TypeA,572,26
TypeA,567,26
TypeA,562,26
TypeA,560,26
TypeA,511,26
TypeA,495,26
TypeA,490,26
TypeA,480,26
TypeA,469,26
TypeA,464,26
TypeA,2016,26
TypeA,2009,26
TypeA,2006,26
TypeA,1998,26
TypeA,1975,26
TypeA,1974,26
TypeA,1971,26
TypeA,1961,26
TypeA,1959,26
TypeA,1957,26
TypeA,1955,26
TypeA,1943,26
TypeA,1939,26
TypeA,1937,26
TypeA,1936,26
TypeA,1929,26
TypeA,1928,26
TypeA,1923,26
TypeA,1917,26
TypeA,1916,26
TypeA,1914,26
TypeA,1899,26
TypeA,1883,26
TypeA,1873,26
TypeA,1872,26
TypeA,1865,26
TypeA,1861,26
TypeA,1856,26
TypeA,1852,26
TypeA,1835,26
TypeA,1828,26
TypeA,1818,26
TypeA,1808,26
TypeA,1803,26
TypeA,1784,26
TypeA,1783,26
TypeA,1779,26
TypeA,1756,26
TypeA,1747,26
TypeA,1745,26
TypeA,1733,26
TypeA,1729,26
TypeA,1726,26
TypeA,1722,26
TypeA,1710,26
TypeA,1707,26
TypeA,1683,26
TypeA,1677,26
TypeA,1675,26
TypeA,1642,26
TypeA,1350,26
TypeA,1331,26
TypeA,1317,26
TypeA,1299,26
TypeA,1292,26
TypeA,1287,26
TypeA,1266,26
TypeA,1264,26
TypeA,1263,26
TypeA,1260,26
TypeA,1258,26
TypeA,1256,26
TypeA,1245,26
TypeA,1238,26
TypeA,1233,26
TypeA,1229,26
TypeA,1197,26
TypeA,1184,26
TypeA,1182,26
TypeA,456,26
TypeA,454,26
TypeA,447,26
TypeA,437,26
TypeA,433,26
TypeA,432,26
TypeA,425,26
TypeA,420,26
TypeA,413,26
TypeA,409,26
TypeA,405,26
TypeA,404,26
TypeA,403,26
TypeA,381,26
TypeA,378,26
TypeA,374,26
TypeA,368,26
TypeA,367,26
TypeA,365,26
TypeA,364,26
TypeA,361,26
TypeA,350,26
TypeA,334,26
TypeA,332,26
TypeA,324,26
TypeA,319,26
TypeA,307,26
TypeA,305,26
TypeA,300,26
TypeA,294,26
TypeA,287,26
TypeA,281,26
TypeA,278,26
TypeA,271,26
TypeA,258,26
TypeA,257,26
TypeA,256,26
TypeA,239,26
TypeA,236,26
TypeA,235,26
TypeA,125,26
TypeA,122,26
TypeA,117,26
TypeA,114,26
TypeA,105,26
TypeA,96,26
TypeA,93,26
TypeA,85,26
TypeA,248,26
TypeA,219,26
TypeA,165,26
TypeA,162,26
TypeA,149,26
TypeA,68,26
TypeA,39,26
TypeA,32,26
TypeA,22,26
TypeA,14,30
TypeA,17,30
TypeA,27,30
TypeA,51,30
TypeA,210,30
TypeA,208,30
TypeA,193,30
TypeA,187,30
TypeA,181,30
TypeA,132,30
TypeA,131,30
TypeA,125,30
TypeA,122,30
TypeA,105,30
TypeA,96,30
TypeA,93,30
TypeA,85,30
TypeA,68,30
TypeA,1634,30
TypeA,1620,30
TypeA,1617,30
TypeA,1613,30
TypeA,1607,30
TypeA,1584,30
TypeA,1582,30
TypeA,1579,30
TypeA,1569,30
TypeA,1558,30
TypeA,1549,30
TypeA,1548,30
TypeA,1544,30
TypeA,1528,30
TypeA,1527,30
TypeA,1518,30
TypeA,1508,30
TypeA,1502,30
TypeA,1492,30
TypeA,1490,30
TypeA,1476,30
TypeA,1468,30
TypeA,1463,30
TypeA,1452,30
TypeA,1426,30
TypeA,1421,30
TypeA,1420,30
TypeA,1393,30
TypeA,1391,30
TypeA,1388,30
TypeA,1382,30
TypeA,1378,30
TypeA,1367,30
TypeA,1366,30
TypeA,1364,30
TypeA,1350,30
TypeA,1345,30
TypeA,1336,30
TypeA,1330,30
TypeA,1319,30
TypeA,1317,30
TypeA,1316,30
TypeA,1301,30
TypeA,1299,30
TypeA,1289,30
TypeA,1287,30
TypeA,1266,30
TypeA,1263,30
TypeA,1258,30
TypeA,1256,30
TypeA,1246,30
TypeA,1238,30
TypeA,1228,30
TypeA,1222,30
TypeA,1197,30
TypeA,1182,30
TypeA,934,30
TypeA,932,30
TypeA,928,30
TypeA,926,30
TypeA,924,30
TypeA,922,30
TypeA,918,30
TypeA,913,30
TypeA,909,30
TypeA,907,30
TypeA,903,30
TypeA,895,30
TypeA,889,30
TypeA,888,30
TypeA,883,30
TypeA,864,30
TypeA,861,30
TypeA,834,30
TypeA,816,30
TypeA,812,30
TypeA,806,30
TypeA,805,30
TypeA,803,30
TypeA,795,30
TypeA,788,30
TypeA,778,30
TypeA,776,30
TypeA,759,30
TypeA,755,30
TypeA,720,30
TypeA,718,30
TypeA,714,30
TypeA,712,30
TypeA,710,30
TypeA,706,30
TypeA,700,30
TypeA,699,30
TypeA,698,30
TypeA,691,30
TypeA,687,30
TypeA,684,30
TypeA,682,30
TypeA,681,30
TypeA,679,30
TypeA,676,30
TypeA,674,30
TypeA,670,30
TypeA,669,30
TypeA,654,30
TypeA,650,30
TypeA,642,30
TypeA,641,30
TypeA,635,30
TypeA,631,30
TypeA,630,30
TypeA,624,30
TypeA,609,30
TypeA,604,30
TypeA,603,30
TypeA,598,30
TypeA,588,30
TypeA,578,30
TypeA,576,30
TypeA,575,30
TypeA,572,30
TypeA,568,30
TypeA,560,30
TypeA,536,30
TypeA,533,30
TypeA,529,30
TypeA,511,30
TypeA,495,30
TypeA,490,30
TypeA,2493,30
TypeA,2489,30
TypeA,2477,30
TypeA,2459,30
TypeA,2457,30
TypeA,2452,30
TypeA,2451,30
TypeA,2448,30
TypeA,2445,30
TypeA,2443,30
TypeA,2441,30
TypeA,2429,30
TypeA,2427,30
TypeA,2420,30
TypeA,2407,30
TypeA,2406,30
TypeA,2377,30
TypeA,2371,30
TypeA,2356,30
TypeA,2345,30
TypeA,2341,30
TypeA,2334,30
TypeA,2331,30
TypeA,2328,30
TypeA,2324,30
TypeA,2318,30
TypeA,2317,30
TypeA,2316,30
TypeA,2307,30
TypeA,2305,30
TypeA,2294,30
TypeA,2280,30
TypeA,2274,30
TypeA,2263,30
TypeA,2262,30
TypeA,2244,30
TypeA,2240,30
TypeA,2233,30
TypeA,2228,30
TypeA,2224,30
TypeA,2223,30
TypeA,2215,30
TypeA,2208,30
TypeA,2207,30
TypeA,2205,30
TypeA,2200,30
TypeA,2194,30
TypeA,2193,30
TypeA,2186,30
TypeA,2185,30
TypeA,2183,30
TypeA,2182,30
TypeA,2168,30
TypeA,2148,30
TypeA,2146,30
TypeA,2141,30
TypeA,2137,30
TypeA,2134,30
TypeA,2124,30
TypeA,2116,30
TypeA,2114,30
TypeA,2111,30
TypeA,2110,30
TypeA,2102,30
TypeA,2097,30
TypeA,2088,30
TypeA,2078,30
TypeA,2076,30
TypeA,2063,30
TypeA,2062,30
TypeA,2058,30
TypeA,2051,30
TypeA,2050,30
TypeA,2046,30
TypeA,1919,30
TypeA,1917,30
TypeA,1916,30
TypeA,1914,30
TypeA,1883,30
TypeA,1873,30
TypeA,1865,30
TypeA,1861,30
TypeA,1856,30
TypeA,1852,30
TypeA,1835,30
TypeA,1833,30
TypeA,1828,30
TypeA,1825,30
TypeA,1808,30
TypeA,1806,30
TypeA,1803,30
TypeA,1783,30
TypeA,1779,30
TypeA,1772,30
TypeA,1769,30
TypeA,1756,30
TypeA,1754,30
TypeA,1747,30
TypeA,1745,30
TypeA,1731,30
TypeA,1729,30
TypeA,1710,30
TypeA,1707,30
TypeA,1705,30
TypeA,1677,30
TypeA,1675,30
TypeA,1671,30
TypeA,1642,30
TypeA,1178,30
TypeA,1163,30
TypeA,1139,30
TypeA,1138,30
TypeA,1136,30
TypeA,1132,30
TypeA,1130,30
TypeA,1128,30
TypeA,1117,30
TypeA,1116,30
TypeA,1111,30
TypeA,1102,30
TypeA,1098,30
TypeA,1084,30
TypeA,1070,30
TypeA,1067,30
TypeA,1065,30
TypeA,1060,30
TypeA,1055,30
TypeA,1042,30
TypeA,1018,30
TypeA,1015,30
TypeA,1012,30
TypeA,1003,30
TypeA,1001,30
TypeA,999,30
TypeA,997,30
TypeA,996,30
TypeA,995,30
TypeA,989,30
TypeA,988,30
TypeA,979,30
TypeA,972,30
TypeA,968,30
TypeA,960,30
TypeA,953,30
TypeA,947,30
TypeA,936,30
TypeA,935,30
TypeA,2027,30
TypeA,2007,30
TypeA,2006,30
TypeA,2002,30
TypeA,1998,30
TypeA,1988,30
TypeA,1985,30
TypeA,1978,30
TypeA,1974,30
TypeA,1971,30
TypeA,1961,30
TypeA,1959,30
TypeA,1955,30
TypeA,1954,30
TypeA,1943,30
TypeA,1933,30
TypeA,1929,30
TypeA,483,30
TypeA,481,30
TypeA,480,30
TypeA,456,30
TypeA,454,30
TypeA,447,30
TypeA,437,30
TypeA,425,30
TypeA,420,30
TypeA,413,30
TypeA,405,30
TypeA,404,30
TypeA,381,30
TypeA,376,30
TypeA,374,30
TypeA,368,30
TypeA,367,30
TypeA,364,30
TypeA,362,30
TypeA,361,30
TypeA,350,30
TypeA,345,30
TypeA,335,30
TypeA,319,30
TypeA,318,30
TypeA,317,30
TypeA,304,30
TypeA,300,30
TypeA,294,30
TypeA,287,30
TypeA,281,30
TypeA,239,30
TypeA,324,30
TypeA,235,30
TypeA,219,30
TypeA,212,30
TypeA,165,30
TypeA,149,30
TypeA,142,30
TypeA,140,30
TypeA,134,30
TypeA,278,30
TypeA,258,30
TypeA,256,30
TypeA,52,30
TypeA,39,30
TypeA,32,30
TypeA,29,30
TypeA,25,30
TypeA,22,30
TypeA,1,8
TypeA,16,8
TypeA,46,8
TypeA,45,8
TypeA,43,8
TypeA,42,8
TypeA,28,8
TypeA,27,8
TypeA,25,8
TypeA,23,8
TypeA,22,8
TypeA,20,8
TypeA,19,8
TypeA,18,8
TypeA,17,8
TypeA,69,8
TypeA,68,8
TypeA,55,8
TypeA,52,8
TypeA,51,8
TypeA,47,8
TypeA,40,8
TypeA,39,8
TypeA,37,8
TypeA,32,8
TypeA,29,8
TypeA,294,8
TypeA,293,8
TypeA,290,8
TypeA,289,8
TypeA,288,8
TypeA,287,8
TypeA,285,8
TypeA,282,8
TypeA,281,8
TypeA,280,8
TypeA,279,8
TypeA,278,8
TypeA,276,8
TypeA,275,8
TypeA,271,8
TypeA,263,8
TypeA,262,8
TypeA,258,8
TypeA,257,8
TypeA,256,8
TypeA,253,8
TypeA,249,8
TypeA,246,8
TypeA,245,8
TypeA,243,8
TypeA,242,8
TypeA,239,8
TypeA,235,8
TypeA,232,8
TypeA,230,8
TypeA,226,8
TypeA,223,8
TypeA,222,8
TypeA,221,8
TypeA,219,8
TypeA,218,8
TypeA,217,8
TypeA,216,8
TypeA,214,8
TypeA,212,8
TypeA,210,8
TypeA,209,8
TypeA,208,8
TypeA,198,8
TypeA,196,8
TypeA,195,8
TypeA,194,8
TypeA,193,8
TypeA,192,8
TypeA,188,8
TypeA,185,8
TypeA,184,8
TypeA,183,8
TypeA,180,8
TypeA,179,8
TypeA,165,8
TypeA,158,8
TypeA,157,8
TypeA,156,8
TypeA,155,8
TypeA,151,8
TypeA,149,8
TypeA,144,8
TypeA,143,8
TypeA,142,8
TypeA,137,8
TypeA,136,8
TypeA,134,8
TypeA,133,8
TypeA,132,8
TypeA,131,8
TypeA,125,8
TypeA,123,8
TypeA,122,8
TypeA,121,8
TypeA,2500,8
TypeA,2499,8
TypeA,2498,8
TypeA,2497,8
TypeA,2496,8
TypeA,2489,8
TypeA,2488,8
TypeA,2485,8
TypeA,2482,8
TypeA,2481,8
TypeA,2478,8
TypeA,2474,8
TypeA,2470,8
TypeA,2467,8
TypeA,2466,8
TypeA,2462,8
TypeA,2459,8
TypeA,2455,8
TypeA,2453,8
TypeA,2452,8
TypeA,2451,8
TypeA,2448,8
TypeA,2447,8
TypeA,2446,8
TypeA,2445,8
TypeA,2443,8
TypeA,2440,8
TypeA,2439,8
TypeA,2438,8
TypeA,2437,8
TypeA,2432,8
TypeA,2430,8
TypeA,2427,8
TypeA,2426,8
TypeA,2425,8
TypeA,2424,8
TypeA,2421,8
TypeA,2420,8
TypeA,2419,8
TypeA,2416,8
TypeA,2415,8
TypeA,2412,8
TypeA,2411,8
TypeA,2410,8
TypeA,2407,8
TypeA,2406,8
TypeA,2405,8
TypeA,2395,8
TypeA,2393,8
TypeA,2390,8
TypeA,2385,8
TypeA,2381,8
TypeA,2380,8
TypeA,2379,8
TypeA,2372,8
TypeA,2371,8
TypeA,2370,8
TypeA,2369,8
TypeA,2367,8
TypeA,2366,8
TypeA,2360,8
TypeA,2359,8
TypeA,2354,8
TypeA,2351,8
TypeA,2350,8
TypeA,2346,8
TypeA,2345,8
TypeA,2344,8
TypeA,2343,8
TypeA,2341,8
TypeA,2337,8
TypeA,2336,8
TypeA,2334,8
TypeA,2331,8
TypeA,2330,8
TypeA,2329,8
TypeA,2328,8
TypeA,2327,8
TypeA,2324,8
TypeA,2322,8
TypeA,2318,8
TypeA,2317,8
TypeA,2314,8
TypeA,2312,8
TypeA,2307,8
TypeA,2305,8
TypeA,2303,8
TypeA,2302,8
TypeA,2301,8
TypeA,2300,8
TypeA,2296,8
TypeA,2295,8
TypeA,2294,8
TypeA,2289,8
TypeA,2288,8
TypeA,2284,8
TypeA,2280,8
TypeA,2278,8
TypeA,2277,8
TypeA,2274,8
TypeA,2273,8
TypeA,2270,8
TypeA,2269,8
TypeA,2266,8
TypeA,2264,8
TypeA,2263,8
TypeA,2262,8
TypeA,2261,8
TypeA,2260,8
TypeA,2247,8
TypeA,2245,8
TypeA,2244,8
TypeA,2238,8
TypeA,2237,8
TypeA,2236,8
TypeA,2235,8
TypeA,2233,8
TypeA,2228,8
TypeA,2226,8
TypeA,2225,8
TypeA,2222,8
TypeA,2221,8
TypeA,2217,8
TypeA,2215,8
TypeA,2213,8
TypeA,2210,8
TypeA,2208,8
TypeA,2207,8
TypeA,2205,8
TypeA,2203,8
TypeA,2200,8
TypeA,2199,8
TypeA,2194,8
TypeA,2193,8
TypeA,2190,8
TypeA,2188,8
TypeA,2187,8
TypeA,2185,8
TypeA,2183,8
TypeA,2182,8
TypeA,2181,8
TypeA,2179,8
TypeA,2178,8
TypeA,2176,8
TypeA,2171,8
TypeA,2170,8
TypeA,2168,8
TypeA,2167,8
TypeA,2164,8
TypeA,2162,8
TypeA,2159,8
TypeA,2156,8
TypeA,2149,8
TypeA,2148,8
TypeA,2147,8
TypeA,2146,8
TypeA,2142,8
TypeA,2138,8
TypeA,2137,8
TypeA,2134,8
TypeA,2133,8
TypeA,2131,8
TypeA,2130,8
TypeA,2129,8
TypeA,2124,8
TypeA,2123,8
TypeA,2121,8
TypeA,2117,8
TypeA,2115,8
TypeA,2114,8
TypeA,2112,8
TypeA,2109,8
TypeA,2108,8
TypeA,2100,8
TypeA,2097,8
TypeA,2095,8
TypeA,2092,8
TypeA,2088,8
TypeA,2087,8
TypeA,2085,8
TypeA,2084,8
TypeA,2083,8
TypeA,2082,8
TypeA,2081,8
TypeA,2080,8
TypeA,2079,8
TypeA,2078,8
TypeA,2076,8
TypeA,2074,8
TypeA,2070,8
TypeA,2069,8
TypeA,2066,8
TypeA,2064,8
TypeA,2059,8
TypeA,2058,8
TypeA,2057,8
TypeA,2053,8
TypeA,2051,8
TypeA,2050,8
TypeA,2047,8
TypeA,2042,8
TypeA,2041,8
TypeA,2037,8
TypeA,2035,8
TypeA,2034,8
TypeA,2032,8
TypeA,2030,8
TypeA,2027,8
TypeA,2024,8
TypeA,2021,8
TypeA,2020,8
TypeA,2019,8
TypeA,2018,8
TypeA,2017,8
TypeA,2015,8
TypeA,2014,8
TypeA,2013,8
TypeA,2012,8
TypeA,2011,8
TypeA,2007,8
TypeA,2006,8
TypeA,2004,8
TypeA,1998,8
TypeA,1995,8
TypeA,1990,8
TypeA,1989,8
TypeA,1985,8
TypeA,1982,8
TypeA,1981,8
TypeA,1978,8
TypeA,1976,8
TypeA,1975,8
TypeA,1974,8
TypeA,1972,8
TypeA,1971,8
TypeA,1969,8
TypeA,1968,8
TypeA,1966,8
TypeA,1965,8
TypeA,1963,8
TypeA,1954,8
TypeA,1947,8
TypeA,1944,8
TypeA,1943,8
TypeA,1939,8
TypeA,1937,8
TypeA,1936,8
TypeA,1935,8
TypeA,1930,8
TypeA,1929,8
TypeA,1928,8
TypeA,1927,8
TypeA,1924,8
TypeA,1923,8
TypeA,1922,8
TypeA,1920,8
TypeA,1919,8
TypeA,1918,8
TypeA,1916,8
TypeA,1912,8
TypeA,1911,8
TypeA,1907,8
TypeA,1906,8
TypeA,1905,8
TypeA,1901,8
TypeA,1899,8
TypeA,1895,8
TypeA,1892,8
TypeA,1889,8
TypeA,1883,8
TypeA,1879,8
TypeA,1873,8
TypeA,1872,8
TypeA,1869,8
TypeA,1865,8
TypeA,1864,8
TypeA,1862,8
TypeA,1861,8
TypeA,1858,8
TypeA,1856,8
TypeA,1854,8
TypeA,1852,8
TypeA,1849,8
TypeA,1848,8
TypeA,1847,8
TypeA,1845,8
TypeA,1836,8
TypeA,1835,8
TypeA,1834,8
TypeA,1833,8
TypeA,1831,8
TypeA,1829,8
TypeA,1824,8
TypeA,1823,8
TypeA,1822,8
TypeA,1821,8
TypeA,1816,8
TypeA,1814,8
TypeA,1812,8
TypeA,1810,8
TypeA,1809,8
TypeA,1807,8
TypeA,1806,8
TypeA,1804,8
TypeA,1803,8
TypeA,1800,8
TypeA,1797,8
TypeA,1795,8
TypeA,1792,8
TypeA,1791,8
TypeA,1788,8
TypeA,1781,8
TypeA,1779,8
TypeA,1778,8
TypeA,1777,8
TypeA,1776,8
TypeA,1774,8
TypeA,1772,8
TypeA,1769,8
TypeA,1767,8
TypeA,1764,8
TypeA,1763,8
TypeA,1762,8
TypeA,1759,8
TypeA,1756,8
TypeA,1754,8
TypeA,1753,8
TypeA,1752,8
TypeA,1749,8
TypeA,1747,8
TypeA,1746,8
TypeA,1745,8
TypeA,1742,8
TypeA,1740,8
TypeA,1732,8
TypeA,1731,8
TypeA,1729,8
TypeA,1726,8
TypeA,1723,8
TypeA,1722,8
TypeA,1720,8
TypeA,1710,8
TypeA,1708,8
TypeA,1705,8
TypeA,1696,8
TypeA,1694,8
TypeA,1693,8
TypeA,1692,8
TypeA,1687,8
TypeA,1686,8
TypeA,1685,8
TypeA,1683,8
TypeA,1678,8
TypeA,1677,8
TypeA,1676,8
TypeA,1675,8
TypeA,1673,8
TypeA,1672,8
TypeA,1668,8
TypeA,1667,8
TypeA,1662,8
TypeA,1659,8
TypeA,1653,8
TypeA,1648,8
TypeA,1642,8
TypeA,1640,8
TypeA,1639,8
TypeA,1634,8
TypeA,1633,8
TypeA,1631,8
TypeA,1630,8
TypeA,1622,8
TypeA,1621,8
TypeA,1620,8
TypeA,1619,8
TypeA,1618,8
TypeA,1617,8
TypeA,1615,8
TypeA,1613,8
TypeA,1607,8
TypeA,1604,8
TypeA,1602,8
TypeA,1601,8
TypeA,1599,8
TypeA,1598,8
TypeA,1595,8
TypeA,1593,8
TypeA,1591,8
TypeA,1590,8
TypeA,1588,8
TypeA,1586,8
TypeA,1585,8
TypeA,1584,8
TypeA,1582,8
TypeA,1579,8
TypeA,1568,8
TypeA,1567,8
TypeA,1563,8
TypeA,1557,8
TypeA,1556,8
TypeA,1555,8
TypeA,1549,8
TypeA,1548,8
TypeA,1545,8
TypeA,1544,8
TypeA,1542,8
TypeA,1541,8
TypeA,1540,8
TypeA,1537,8
TypeA,1536,8
TypeA,1535,8
TypeA,1534,8
TypeA,1532,8
